# 241212_13:50:30.329665
t	CH1	CH2
0.000000e+00	7.325000e-03	1.265700e+01
1.000000e-08	-6.999994e-05	1.271850e+01
2.000000e-08	3.920000e-03	1.272250e+01
3.000000e-08	-1.120000e-03	1.279450e+01
4.000000e-08	-5.600000e-03	1.281500e+01
5.000000e-08	-6.095000e-03	1.280700e+01
6.000000e-08	-4.285000e-03	1.287800e+01
7.000000e-08	-3.640000e-03	1.289200e+01
8.000000e-08	-5.200000e-03	1.292950e+01
9.000000e-08	6.125000e-03	1.290900e+01
1.000000e-07	3.770000e-03	1.290050e+01
1.100000e-07	-4.760000e-03	1.291300e+01
1.200000e-07	-3.280000e-03	1.297050e+01
1.300000e-07	-2.620000e-03	1.289200e+01
1.400000e-07	-4.000000e-03	1.287100e+01
1.500000e-07	-4.930000e-03	1.287150e+01
1.600000e-07	-2.460000e-03	1.284900e+01
1.700000e-07	-2.855000e-03	1.283950e+01
1.800000e-07	-3.495000e-03	1.276600e+01
1.900000e-07	1.255000e-03	1.275500e+01
2.000000e-07	2.850000e-04	1.270250e+01
2.100000e-07	-5.035000e-03	1.267800e+01
2.200000e-07	-1.800000e-04	1.260550e+01
2.300000e-07	-2.565000e-03	1.257500e+01
2.400000e-07	-5.920000e-03	1.253100e+01
2.500000e-07	-5.005000e-03	1.246000e+01
2.600000e-07	-3.090000e-03	1.234450e+01
2.700000e-07	-1.695000e-03	1.229100e+01
2.800000e-07	-2.140000e-03	1.224700e+01
2.900000e-07	1.445000e-03	1.217350e+01
3.000000e-07	-2.100000e-03	1.204950e+01
3.100000e-07	-4.580000e-03	1.194500e+01
3.200000e-07	-4.165000e-03	1.186000e+01
3.300000e-07	-5.615000e-03	1.173450e+01
3.400000e-07	-6.150000e-03	1.159850e+01
3.500000e-07	-4.910000e-03	1.152100e+01
3.600000e-07	1.165000e-03	1.138550e+01
3.700000e-07	1.110000e-03	1.126850e+01
3.800000e-07	-1.835000e-03	1.110000e+01
3.900000e-07	-3.185000e-03	1.098450e+01
4.000000e-07	-5.565000e-03	1.085800e+01
4.100000e-07	-6.245000e-03	1.073300e+01
4.200000e-07	-3.600000e-03	1.062600e+01
4.300000e-07	-3.310000e-03	1.045850e+01
4.400000e-07	-2.575000e-03	1.028900e+01
4.500000e-07	-1.550000e-03	1.013050e+01
